,time,vehiclestatus,chargestatus,runmodel,speed,summileage,sumvoltage,sumcurrent,soc,dcdcstatus,gearnum,insulationresistance,max_volt_num,max_volt_cell_id,max_cell_volt,min_volt_num,min_volt_cell_id,min_cell_volt,max_temp_num,max_temp_probe_id,max_temp,min_temp_num,min_temp_probe_id,min_temp,power,distince,distance
45,01-10 01,1,4,1,0.0,39938.0,396.5,17.4,100,1,15,5175,1,7,4.133,1,75,4.115,1,15,6,1,24,5,6899.099999999999,0.0,0.0
46,01-10 01,1,4,1,0.0,39938.0,396.2,18.1,100,1,15,5175,1,7,4.132,1,75,4.113,1,15,6,1,24,5,7171.22,0.0,0.0
47,01-10 01,1,4,1,3.2,39938.0,395.7,11.0,100,1,13,5175,1,7,4.129,1,75,4.109,1,15,6,1,24,5,4352.7,0.0,0.0
48,01-10 01,1,4,1,2.0,39938.0,394.7,5.7,100,1,14,5175,1,7,4.128,1,75,4.1080000000000005,1,15,6,1,24,5,2249.79,0.0,0.0
49,01-10 01,1,4,1,0.1,39938.0,396.2,2.8,100,1,14,5175,1,62,4.13,1,32,4.115,1,17,6,1,24,5,1109.36,0.0,0.0
50,01-10 01,1,4,1,0.0,39938.0,396.0,20.8,100,1,14,5175,1,62,4.13,1,32,4.112,1,17,6,1,24,5,8236.800000000001,0.0,0.0
51,01-10 01,1,4,1,0.0,39938.0,396.0,4.0,100,1,15,5215,1,62,4.131,1,32,4.112,1,17,6,1,24,5,1584.0,0.0,0.0
52,01-10 01,1,4,1,0.0,39938.0,395.2,6.6,100,1,15,5215,1,62,4.132,1,32,4.117,1,17,6,1,24,5,2608.3199999999997,0.0,0.0
53,01-10 01,1,4,1,0.0,39938.0,396.2,1.1,100,1,15,5215,1,17,4.131,1,75,4.1160000000000005,1,17,6,1,24,5,435.82000000000005,0.0,0.0
54,01-10 01,1,3,1,0.0,39938.0,396.2,0.8,99,1,15,5215,1,17,4.131,1,75,4.1160000000000005,1,17,6,1,24,5,316.96000000000004,0.0,0.0
55,01-10 01,1,3,1,0.0,39938.0,395.7,1.2,99,1,15,5177,1,17,4.131,1,75,4.115,1,17,6,1,24,5,474.84,0.0,0.0
56,01-10 01,1,3,1,0.0,39938.0,395.2,1.2,99,1,15,5177,1,17,4.129,1,72,4.1110000000000015,1,17,6,1,24,5,474.23999999999995,0.0,0.0
57,01-10 01,1,3,1,0.0,39938.0,395.0,17.9,99,1,15,5177,1,17,4.13,1,72,4.112,1,17,6,1,24,5,7070.499999999999,0.0,0.0
58,01-10 01,1,3,1,0.0,39938.0,396.0,13.7,99,1,15,5177,1,17,4.129,1,72,4.109,1,17,6,1,24,5,5425.2,0.0,0.0
59,01-10 01,1,3,1,0.0,39938.0,396.0,0.8,99,1,15,5177,1,17,4.13,1,72,4.114,1,17,6,1,24,5,316.8,0.0,0.0
60,01-10 01,1,3,1,0.0,39938.0,395.7,12.0,99,1,15,5200,1,76,4.13,1,24,4.1160000000000005,1,17,6,1,24,5,4748.4,0.0,0.0
61,01-10 01,1,3,1,0.0,39938.0,395.0,0.8,99,1,15,5200,1,76,4.13,1,24,4.1110000000000015,1,17,6,1,24,5,316.0,0.0,0.0
62,01-10 01,1,3,1,0.0,39938.0,396.0,9.0,99,1,15,5212,1,76,4.129,1,24,4.1110000000000015,1,17,6,1,24,5,3564.0,0.0,0.0
63,01-10 01,1,3,1,0.0,39938.0,396.0,4.9,99,1,15,5212,1,76,4.129,1,24,4.109,1,17,6,1,24,5,1940.4,0.0,0.0
64,01-10 01,1,3,1,0.0,39938.0,395.7,1.2,99,1,15,5195,1,17,4.129,1,36,4.11,1,17,6,1,24,5,474.84,0.0,0.0
65,01-10 01,1,3,1,0.0,39938.0,394.7,3.9,99,1,15,5195,1,17,4.129,1,36,4.113,1,17,6,1,24,5,1539.33,0.0,0.0
66,01-10 01,1,3,1,0.0,39938.0,395.0,17.6,99,1,15,5182,1,17,4.129,1,36,4.1080000000000005,1,17,6,1,24,5,6952.000000000001,0.0,0.0
67,01-10 01,1,3,1,0.0,39938.0,395.7,13.8,99,1,15,5182,1,76,4.129,1,38,4.11,1,17,6,1,24,5,5460.66,0.0,0.0
68,01-10 01,1,3,1,0.0,39938.0,395.7,0.8,99,1,15,5155,1,76,4.128,1,38,4.11,1,17,6,1,24,5,316.56,0.0,0.0
